Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay
Reaction starts, arbiter, 1, 23, 0, 81, 2047527, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 81, 2047820, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 81, 2048983, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 81, 2049693, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 82, 2050221, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 82, 2050498, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 82, 2051594, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 82, 2053815, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 83, 2054303, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 83, 2054594, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 83, 2055674, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 83, 2056674, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 84, 2057181, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 84, 2057455, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 84, 2058570, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 84, 2059650, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 85, 2060143, NO TRIGGER, 0
